source_id,source_org,source_document,source_date,domain,entry_type,original,original_normalized,yasashii,notes,retain_original,is_negative_example
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,残業,残業,１日に８時間より長く働くこと。または、１週間に40時間より長く働くこと。,No.51,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,産前産後休業,産前産後休業,会社で仕事をしている女の人が、赤ちゃんが生まれる前にとることができる休みと、赤ちゃんが生まれた後にとらなければいけない休み。,No.52,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,産婦人科,産婦人科,女の人がなる病気を治したり、赤ちゃんを産んだりする病院。,No.53,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,歯科,歯科,歯を治す病院。,No.54,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,資格外活動許可,資格外活動許可,仕事ができない在留資格(No.48)の人が、仕事をしたいときにもらうもの。,No.55,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,敷金（保証金）,敷金,家を借りるときに払うお金。家を借りた人が出て行ったあと大家(No.9)が、家の壊れたところや汚くなったところを直すためなどに使います。,No.56,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,自治会・町内会,自治会・町内会,近くに住んでいる人たちが作る会。安全で住みやすいまちにするために一緒に考えます。,No.57,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,実印,実印,住んでいるまちの役所に認めてもらったはんこ。車や家を買うときなどに使います。,No.58,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,自動車重量税,自動車重量税,車検(No.68)などのときに払う税金(No.82)。,No.59,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,自動車税／軽自動車税環境性能割,自動車税／軽自動車税環境性能割,車を買ったときに払う税金(No.82)。,No.60,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,自動車税／軽自動車税種別割,自動車税／軽自動車税種別割,毎年４月１日に車を持っている人が払う税金(No.82)。,No.61,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,児童手当,児童手当,子どもが中学校を卒業するまで、子どもを育てている人がもらうことができるお金。,No.62,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,児童扶養手当,児童扶養手当,離婚などで、18歳までの子どもを１人で育てている人がもらうことができるお金。障害のある19歳までの子どもを１人で育てている人もいます。,No.63,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,自賠責保険,自賠責保険,車やオートバイを運転する人からお金を集めて、事故にあった人を助ける制度。,No.64,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,死亡一時金,死亡一時金,年金に入っていた人が死んだとき、家族が国民年金(No.39)からもらうお金。,No.65,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,死亡届,死亡届,家族や一緒に生活していた人が死んだときに、まちの役所に出す紙。,No.66,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,社会保険・労働保険,社会保険・労働保険,国が、働いている人と会社からお金を集めて、困った人を助ける制度。,No.67,False,False
01,出入国在留管理庁・文化庁,在留支援のためのやさしい日本語ガイドライン 別冊書き換え例,2020,,term,車検,車検,１年か２年に１度、車やオートバイが安全に走ることができるか（使うことができるか）などを調べること。,No.68,False,False
