original,yasashii
駐車禁止,車を止めたらダメ
駐輪場(2),自転車を止めるところ
徴する,求める、要求する
賃貸(2),借りている家
津波(3),大きい波
津波が襲う,津波が来る
通院する,病院に行く、病院に行く
通報する(2),連絡する／電話する
潰れる,壊れた
呈する,示す
適宜,適切に、良いように
登校(1),学校に来る／行く
土足厳禁(1),くつをぬいでください
捺印(1),はんこを押す
納付書(2),納付書（税金を払うときに使う紙）
配給,配る、みんなに渡す
罰金,お金を払う
必須(1),必ず
必着のこと,～までにつくように出してください
不燃ごみ,燃えないごみ
付与する,与える、あげる
扶養する,生活の世話をする、生活を助ける
父子,おとうさんとこども
負傷者(2),ケガをした人
併記する,併せて書く、一緒に書く
閉店,店が終わる
返却,返す
母子,おかあさんとこども
崩壊する,壊れる
法人税,会社がかせいだお金の税金
法令,法律と命令、決まり
未加入(2),まだ入っていない
免除(2),お金を払わなくていいこと
目撃する,見る
問い合わせ先,問い合わせ先（分からないことを質問するところ）
夜間(2),夜
優先(1),（ほかのものより）先にすること
優先席,おじいさん・おばあさん・病気の人などが座るところ
余震(3),余震（あとから来る地震）
与する,役立つ
履行,行う
離婚(2),夫婦ではなくなること、結婚をやめること
離職,仕事がない、仕事をなくす
留意,注意
連絡先(2),連絡するところ
罹患,病気になる
危険(2),危ない
体調が悪い,元気がない
お会計する,お金を払う
捺印(2),はんこを押す 
授業参観(3),授業を見る
通報する(3),連絡する ／ 電話する
健診 ,健康診断
取説,取扱説明書
学割,学生割引
ペット,犬や猫などの動物
お年寄り, おじいさん・おばあさん
粗大ごみ(2),イスや机など大きいごみ
お掛けください,座ってください 
お召し上がりください,食べてください
拝見します,見ます
差し上げます,あげます ／ 渡します
救急車(4),救急車 （病気やけがをした人を助ける車）
避難訓練,避難訓練 （地震や台風のときに逃げる練習）
余震(4),余震 （あとからくる地震）
停電(3),停電 （電気を使うことができない） 
断水(4),断水 （水道から水が出ない） 
行方不明(4),行方不明 （どこにいるかわからない、見つからない）
保護者(2),保護者 （子どもの家族、お父さん、お母さんなど）
熱中症,熱中症 （暑くて気持ち悪くなる、頭が痛くなる病気） 
暗証番号,暗証番号 （あなただけが知っている番号）
お子様,あなたの子ども
お手洗い,トイレ
今朝(1),今日の朝
更新(2),新しくする
不要です,いりません／いらないです
小児科,子どもの病気やけがを治す病院
終日運休,今日は電車(バス)が動いていません／止まっています
キャンセル(1),やめる
(タイヤの)パンク,タイヤに穴が開く／タイヤが壊れる
ヘルシーな朝食,体にいい朝ごはん
ストレス(1),疲れること／心配なこと
ハザードマップ(1),地震や台風のときに危ないところがわかる地図
ご両親 ,○○さんのお父さんとお母さん
両親,お父さんとお母さん
喫煙,タバコを吸う
今朝(2),今日の朝
登校(2),学校に行く
記入,書く
利用,使う
未加入(3),まだ入っていない
滞納,まだ払っていない
土足厳禁(2),靴を脱いでください
医療機関を受診してください,病院に行ってください
可能,することができます
不可能,することができません
セルフサービス(2),自分でする
ノートパソコン,ラップトップ　コンピュータ
授業参観(4),授業を見る
罹災証明書,罹災証明（地震や大雨などで家が壊れた人のための書類）
津波(4),津波（大きな波）
余震(5),余震（あとからくる地震）
外国人学校(1),外国人の子どものための学校。
高校生等奨学給付金(1),親の収入が少ない家庭が、教科書や勉強に必要なものを買うためにもらうことができるお金。（手続きが必要です。）
高等学校卒業程度認定試験(1),高校を卒業していない人が受けることができる試験。合格したら、大学や専門学校などに入るための試験を受けることができます。
高等学校就学支援金,親の収入が少ない高校生の家庭が、授業を受けるためにもらうことができるお金。（手続きが必要です。）
中学校卒業程度認定試験(1),日本の中学校を卒業していない人が受ける試験。
